plant_id,scientific_name,common_name,family,vernacular_names,medicinal_system,distribution_region,medicinal_use,parts_used,habit,nmpb_med_system_tag,nmpb_api_sanskrit_names,bsi_herbarium_uses_url,source_reference,plant_match_confidence,is_synthetic,source_bsi_s_no,source_nmpb_s_no
PLANT-0980,Gloriosa superba L.,"Karihari, Languli",LILIACEAE,"Karihari, Languli; Kalihari; Langali",Ayurveda,,,"Fruit (Seed),; Root",Climber,AFSTU,Langali,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003074&column=szBarcode,BSI+NMPB,HIGH,False,813,447
PLANT-0981,Glossocardia bosvallea (L.f.) DC.,Parpataka,ASTERACEAE,Parpataka,Ayurveda,,,Whole Plant,Herb,A,,,NMPB,SOURCE_ONLY,False,,448
PLANT-0982,Glossocardia bosvallia (L.f.) DC.,Seri,ASTERACEAE,Seri,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013691&column=szBarcode,BSI,SOURCE_ONLY,False,814,
PLANT-0983,Glossogyne bidens (Retz.) Alston,Pardeshibhangro (Guj.),ASTERACEAE,Pardeshibhangro (Guj.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013692&column=szBarcode,BSI,SOURCE_ONLY,False,815,
PLANT-0984,Glycine max (L.) Merr.,"Bhat, Bhatwar",FABACEAE,"Bhat, Bhatwar",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003664&column=szBarcode,BSI,SOURCE_ONLY,False,816,
PLANT-0985,Glycirrhiza glabra L.,"Mulhatti, Jethi-madh",FABACEAE,"Mulhatti, Jethi-madh",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003684&column=szBarcode,BSI,SOURCE_ONLY,False,817,
PLANT-0986,Glycosmis arborea (Roxb.) DC.,Ban-nimbu,RUTACEAE,"Ban-nimbu; Potali,; Kupilah",Ayurveda,,,Root,Shrub,A,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009966&column=szBarcode,BSI+NMPB,HIGH,False,818,449
PLANT-0987,Glycyrrhiza glabra L.,"Mulathi,; Jeshtimadhu,; Gulegafis",FABACEAE,"Mulathi,; Jeshtimadhu,; Gulegafis; Yasti",Ayurveda,,,Root,Shrub,AFSTUW,Yasti,,NMPB,SOURCE_ONLY,False,,450
PLANT-0988,Glycyrrhiza uralensis DC.,"Mulathi,; Jeshtimadhu,; Gulegafis",FABACEAE,"Mulathi,; Jeshtimadhu,; Gulegafis",,,,Root,Shrub,F,,,NMPB,SOURCE_ONLY,False,,451
PLANT-0989,Gmelina arborea Roxb.,"Gambhar, Gumhar",VERBENACEAE,"Gambhar, Gumhar; Ghambar chal,; Shivan; (Ghambari); (Chal); Gambhari",Ayurveda,,,Bark (Root),Tree,AFST,Gambhari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009081&column=szBarcode,BSI+NMPB,HIGH,False,819,452
